,user_ID,gender,age,prefecture_ID,region_ID,east/west_ID,currently_prefecture_ID,currently _regional_ID,currently_east/west_ID,name,style,major_group,minor_group,the_heaviness/oiliness_in_taste,normalized price,how_frequently_the_SUSHI_is_sold_in_sushi_shop,score
0,6371,0,2,0,0,0,0,0,0,anago,1,0,3,0.9263843648208472,1.9924586776859496,0.88,0
1,6371,0,2,0,0,0,0,0,0,ika,1,0,5,2.68840082361016,1.51515151515152,0.92,4
2,6371,0,2,0,0,0,0,0,0,uni,1,0,8,0.81304347826087,3.28728191000918,0.88,2
3,6371,0,2,0,0,0,0,0,0,akagai,1,0,4,2.5167504187604703,3.3324494949494903,0.72,1
4,6371,0,2,0,0,0,0,0,0,mentaiko,1,0,7,1.8125,1.49636363636364,0.2,1
5,6371,0,2,0,0,0,0,0,0,nattou,1,1,11,1.53424657534247,1.29166666666667,0.12,4
6,6371,0,2,0,0,0,0,0,0,kanpyo_maki,0,1,11,2.82191780821918,1.0,0.12,2
7,6371,0,2,0,0,0,0,0,0,ana_kyu_maki,0,0,3,2.22463768115942,1.5833333333333302,0.08,0
8,6371,0,2,0,0,0,0,0,0,shiso_maki,0,1,11,3.4969696969697006,1.0,0.08,0
9,6371,0,2,0,0,0,0,0,0,tobiuo,1,0,0,2.4935064935064903,1.5,0.04,2
10,10007,1,1,26,6,1,26,6,1,ikura,1,0,7,1.26487252124646,2.69536271808999,0.88,0
11,10007,1,1,26,6,1,26,6,1,toro,1,0,1,0.551854655563967,4.48545454545455,0.8,1
12,10007,1,1,26,6,1,26,6,1,akagai,1,0,4,2.5167504187604703,3.3324494949494903,0.72,0
13,10007,1,1,26,6,1,26,6,1,shako,1,0,6,2.57185039370079,1.8565656565656599,0.6,0
14,10007,1,1,26,6,1,26,6,1,aji,1,0,0,2.32380952380952,2.08131313131313,0.56,1
15,10007,1,1,26,6,1,26,6,1,kani,1,0,6,2.82373271889401,2.03787878787879,0.52,2
16,10007,1,1,26,6,1,26,6,1,torigai,1,0,4,2.53507728894174,2.125,0.48,0
17,10007,1,1,26,6,1,26,6,1,katsuo,1,0,1,1.9079159935379602,1.4648148148148101,0.36,1
18,10007,1,1,26,6,1,26,6,1,kanpyo_maki,0,1,11,2.82191780821918,1.0,0.12,1
19,10007,1,1,26,6,1,26,6,1,zuke,1,0,1,1.48611111111111,2.125,0.08,0
20,1777,1,2,29,6,1,26,6,1,anago,1,0,3,0.9263843648208472,1.9924586776859496,0.88,3
21,1777,1,2,29,6,1,26,6,1,maguro,1,0,1,1.76955903271693,1.87472451790634,0.88,4
22,1777,1,2,29,6,1,26,6,1,ikura,1,0,7,1.26487252124646,2.69536271808999,0.88,3
23,1777,1,2,29,6,1,26,6,1,hamachi,1,0,0,1.25849731663685,1.6730587121212102,0.64,4
24,1777,1,2,29,6,1,26,6,1,samon,1,0,1,1.2711234911792,1.5117739898989901,0.64,4
25,1777,1,2,29,6,1,26,6,1,unagi,1,0,3,0.5442739079102721,2.23724747474747,0.48,3
26,1777,1,2,29,6,1,26,6,1,suzuki,1,0,2,2.6536312849162003,3.13333333333333,0.2,2
27,1777,1,2,29,6,1,26,6,1,hamo,1,0,2,2.5678391959798996,1.5,0.12,1
28,1777,1,2,29,6,1,26,6,1,nasu,1,1,11,3.18224299065421,1.16666666666667,0.12,1
29,1777,1,2,29,6,1,26,6,1,shiso_maki,0,1,11,3.4969696969697006,1.0,0.08,2
30,3613,0,4,40,9,1,26,6,1,ebi,1,0,6,2.7289780077619703,1.8384199134199093,0.84,4
31,3613,0,4,40,9,1,26,6,1,ika,1,0,5,2.68840082361016,1.51515151515152,0.92,3
32,3613,0,4,40,9,1,26,6,1,uni,1,0,8,0.81304347826087,3.28728191000918,0.88,4
33,3613,0,4,40,9,1,26,6,1,tako,1,0,5,3.0884588804422903,1.38433014354067,0.76,1
34,3613,0,4,40,9,1,26,6,1,toro,1,0,1,0.551854655563967,4.48545454545455,0.8,4
35,3613,0,4,40,9,1,26,6,1,amaebi,1,0,6,1.91398713826367,1.92497341839447,0.76,3
36,3613,0,4,40,9,1,26,6,1,torigai,1,0,4,2.53507728894174,2.125,0.48,3
37,3613,0,4,40,9,1,26,6,1,kappa_maki,0,1,11,3.73054755043228,1.02,0.4,2
38,3613,0,4,40,9,1,26,6,1,takuwan_maki,0,1,11,3.33025404157044,1.03333333333333,0.24,2
39,3613,0,4,40,9,1,26,6,1,inari,1,1,11,1.5838323353293402,1.0,0.2,3
40,8081,1,1,26,6,1,36,8,1,uni,1,0,8,0.81304347826087,3.28728191000918,0.88,1
41,8081,1,1,26,6,1,36,8,1,amaebi,1,0,6,1.91398713826367,1.92497341839447,0.76,4
42,8081,1,1,26,6,1,36,8,1,hamachi,1,0,0,1.25849731663685,1.6730587121212102,0.64,0
43,8081,1,1,26,6,1,36,8,1,chu_toro,1,0,1,0.795193312434692,3.16756854256854,0.56,1
44,8081,1,1,26,6,1,36,8,1,geso,1,0,5,2.33189655172414,1.0181818181818199,0.4,1
45,8081,1,1,26,6,1,36,8,1,katsuo,1,0,1,1.9079159935379602,1.4648148148148101,0.36,0
46,8081,1,1,26,6,1,36,8,1,tarabagani,1,0,6,2.68032786885246,3.41515151515152,0.2,4
47,8081,1,1,26,6,1,36,8,1,tarako,1,0,7,1.87887323943662,1.16,0.2,3
48,8081,1,1,26,6,1,36,8,1,hamo,1,0,2,2.5678391959798996,1.5,0.12,0
49,8081,1,1,26,6,1,36,8,1,kaki,1,0,4,1.7792207792207801,1.25,0.04,0
50,1462,1,2,12,3,0,13,3,0,ebi,1,0,6,2.7289780077619703,1.8384199134199093,0.84,4
51,1462,1,2,12,3,0,13,3,0,ika,1,0,5,2.68840082361016,1.51515151515152,0.92,1
52,1462,1,2,12,3,0,13,3,0,ikura,1,0,7,1.26487252124646,2.69536271808999,0.88,4
53,1462,1,2,12,3,0,13,3,0,tai,1,0,2,2.99093157460841,2.2612440191387595,0.76,1
54,1462,1,2,12,3,0,13,3,0,shako,1,0,6,2.57185039370079,1.8565656565656599,0.6,0
55,1462,1,2,12,3,0,13,3,0,shimaaji,1,0,0,2.22857142857143,2.68831168831169,0.28,1
56,1462,1,2,12,3,0,13,3,0,negi_toro,1,0,1,1.25563909774436,2.4729437229437203,0.28,4
57,1462,1,2,12,3,0,13,3,0,inari,1,1,11,1.5838323353293402,1.0,0.2,2
58,1462,1,2,12,3,0,13,3,0,suzuki,1,0,2,2.6536312849162003,3.13333333333333,0.2,1
59,1462,1,2,12,3,0,13,3,0,nasu,1,1,11,3.18224299065421,1.16666666666667,0.12,2
60,5367,0,3,0,0,0,0,0,0,maguro,1,0,1,1.76955903271693,1.87472451790634,0.88,4
61,5367,0,3,0,0,0,0,0,0,ika,1,0,5,2.68840082361016,1.51515151515152,0.92,3
62,5367,0,3,0,0,0,0,0,0,uni,1,0,8,0.81304347826087,3.28728191000918,0.88,4
63,5367,0,3,0,0,0,0,0,0,tako,1,0,5,3.0884588804422903,1.38433014354067,0.76,2
64,5367,0,3,0,0,0,0,0,0,amaebi,1,0,6,1.91398713826367,1.92497341839447,0.76,4
65,5367,0,3,0,0,0,0,0,0,hotategai,1,0,4,2.34541249036237,1.7721956406166899,0.76,4
66,5367,0,3,0,0,0,0,0,0,tai,1,0,2,2.99093157460841,2.2612440191387595,0.76,4
